youthPolicy.rnum,youthPolicy.bizId,youthPolicy.polyBizSecd,youthPolicy.polyBizTy,youthPolicy.polyBizSjnm,youthPolicy.polyItcnCn,youthPolicy.sporCn,youthPolicy.sporScvl,youthPolicy.bizPrdCn,youthPolicy.prdRpttSecd,youthPolicy.rqutPrdCn,youthPolicy.ageInfo,youthPolicy.majrRqisCn,youthPolicy.empmSttsCn,youthPolicy.splzRlmRqisCn,youthPolicy.accrRqisCn,youthPolicy.prcpCn,youthPolicy.aditRscn,youthPolicy.prcpLmttTrgtCn,youthPolicy.rqutProcCn,youthPolicy.pstnPaprCn,youthPolicy.jdgnPresCn,youthPolicy.rqutUrla,youthPolicy.rfcSiteUrla1,youthPolicy.rfcSiteUrla2,youthPolicy.mngtMson,youthPolicy.mngtMrofCherCn,youthPolicy.cherCtpcCn,youthPolicy.cnsgNmor,youthPolicy.tintCherCn,youthPolicy.tintCherCtpcCn,youthPolicy.etct,youthPolicy.polyRlmCd
1,R2023110217873,강원,지자체,청년 지원(고졸취업지원),학생들에게 창의적 사고 및 전공분야 약량을 실현할 수 있는 학습의 장 마련 직무능력 배양을 위한 직업전문교육 실시로 취업기회 확대,기업과 협력체계 구축 직업전문 교육을 방과 후 학습으로 추진(강사료 및 교재비 등 지원),1개교,2023.1.~12,2004,20230111-20230130,만 17세 ~ 19세,제한없음,미취업자,제한없음,제한없음,관내 특성화고(1개교),-,관내 특성화고 외 지원불가,춘천시 기업지원과 공문발송,지원신청서 및 사업계획서 취업관련 주요사업 실적 사업참여동의서 개인정보수집 동의서,-,-,https://www.gn.go.kr,-,춘천시 기업지원과,김민겸 주무관,033-250-4434,공모사업 선정 관내 특성화고(1개교),-,-,-,일자리
2,R2023110217868,강원,지자체,강원형 미래인력양성 사업,주력산업 및 신산업 기반산업 분야 인재양성 교육훈련 및 취업 연계,교육훈련을 위한 교육비 강사비 재료비 등 지원 교육참가자들에게 훈련수당 등 지원,전체 120명 과정별 10명 ~ 40명 정원,2020.~,2004,20230530-20230806,제한없음,제한없음,미취업자,제한없음,제한없음,강원특별자치도내 거주자 및 도내 중소중견기업,-,-,모집공고(강원특별자치도 일자리재단 홈페이지)에 따른 신청서류 작성 후 우편 및 방문제출,모집공고에 따른 신청서류 작성,사업수행 기관 심사 진행(개별통보),-,https://gwjob.kr/gwjf/gwjf_news/gwjf_notification,-,강원특별자치도 일자리과,서영욱 주무관,033-249-3439,강원특별자치도 일자리재단,김태경 책임연구원,033-256-9546,-,교육
3,R2023110217867,강원,지자체,청년 취업준비 쿠폰 지원사업,도내 미취업 청년들의 안정적인 구직활동 지원 및 노동시장 조기진입 유도,- (구직활동지원금) 월 50만원씩 6개월간 최대 300만원 지원 * 교육비 도서 및 교재구입비 교통비 식비 면접활동비 자기계발비 등 지원 * 자산성 물품(전자기기 가전제품 기타 장비 등) 구매 및 구직활동과 무관한 사용 제한- (취업성공금) 지원금 수급 중 취업하여 3개월간 근속한 경우 현금 50만원 지원 * 단 6개월 전액지원 받고 취?창업하거나 도외로 주소지를 이전한 경우는 제외- (취업지원 서비스) 취업컨설팅 역량강화 교육 등 취업지원 서비스 연계,1000명,2023.02.~2024.01.,2004,20230905-20230917,만 18세 ~ 39세,제한없음,미취업자,제한없음,제한없음,- 아래 조건 모두 충족 시 지원가능(주소지) 신청일 현재 본인의 주민등록상 주소지가 강원특별자치도(나이) 신청일 현재 만 18세 이상 만 39세 이하(주민등록번호 기준)(최종학력) 신청일 기준 최종학력 졸업(중퇴)자 * 재학생의 경우 최종학년 마지막 학기 가능(취업상태) 신청일 현재 미취업(미취업기준 : 주 36시간 미만 근로 사업자등록증이 없는 경우)(가구소득) 가구소득인정액이 연령별 기준중위소득 요건에 해당하는 자 : 만 18세 ~ 만 34세는 기준중위소득 120% 초과 ~ 180% 이하 : 만 35세 ~ 만 39세는 기준중위소득 180% 이하,※ 공고일 전 3개월 평균 가구원의 건강보험료 납부(부과)액 합산 금액이 연령별 기준중위소득 건강보험료 부과액 범위에 해당해야 함,- 실업급여 및 생계급여 수급자- 재정지원 직접 일자리사업 참여자(주36시간 이상 근로 시)- 20~22년 강원특별자치도 청년구직활동 지원사업 참여자 - 고용노동부 국민취업지원제도 및 타 지자체 유사사업 지원 대상자- 학업 또는 군복무 건강 등의 사유로 취업이 어렵거나 취업 의사가 없는 사람,"① 강원일자리정보망 홈페이지 접속하여 개인 회원가입 및 구직등록 후 신청가능② 홈페이지 상단의 ""지원정책"" 선택 후 ""청년구직활동지원"" 클릭③ 온라인 신청서 작성(구직활동계획서 등) 및 제출서류 첨부 후 최종 제출",모집공고문 참조,강원일자리정보망 홈페이지 고시/공고 게시 및 개별 문자 발송,https://job.gwd.go.kr/gwjob,https://job.gwd.go.kr/gwjob/support_policy/support_apply/appy_youth_extrapay/youth_info?youthSeq=22,-,강원특별자치도 일자리과,전하늘 주무관,033-249-4332,강원특별자치도일자리재단,오슬기 대리,033-256-9575,-,일자리
4,R2023110217853,강원,지자체,우울증치료비 지원,취업준비 스트레스 사회적 고립등으로 인해 마음의 병을 앓고 있는 청년들에게 치유의 기회 제공,1인당 최대 400000한도 내 진료비 및 약제비 지원,-,2023.1.~12,2004,20230816-20230829,만 18세 ~ 39세,기타,제한없음,제한없음,제한없음,취업준비 스트레스 사회적 고립등으로 인해 마음의 전입신고 한 18~39세 마음,-,없음,-,-,-,-,-https://www.wonju.go.kr,-,원주시 복지정책과,김경민 주무관,033-737-2306,원주시,해당사항 없음,해당사항 없음,-,복지
5,R2023110217851,강원,지자체,스터디카페 및 독서실 이용료 지원,취업 준비를 위한 스터디카페 및 독서실 이용자에 대한 비용 지원,이용료 100000원,-,2023.1.~12,2004,20230109-20230125,만 18세 ~ 34세,기타,미취업자,제한없음,제한없음,신청일 현재 1개월 이상 원주시 거주 및 18~34세 취업준비생,-,없음,해당 홈페이지에서 신청,-,-,https://www.wonju.go.kr/wjyouth/index.do,https://www.wonju.go.kr/wjyouth/index.do,-,원주시 복지정책과,남효선 주무관,033-737-2308,원주시,해당사항 없음,해당사항 없음,-,일자리
6,R2023110217850,강원,지자체,자격증 시험 응시료 지원,취업 준비를 위해 필요한 각종 자격증 시험 응시료 지원,자격증 응시료 50000원 한도내 실비 지원,-,null,2004,20230703-20230731,만 18세 ~ 34세,기타,미취업자,제한없음,제한없음,신청일 현재 1개월 이상 원주시 거주 및 18~34세 취업준비생,-,없음,해당 홈페이지에서 신청,-,-,https://www.wonju.go.kr/wjyouth/index.do,https://www.wonju.go.kr/wjyouth/index.do,-,원주시 복지정책과,남효선 주무관,033-737-2308,원주시,해당사항 없음,해당사항 없음,-,일자리
7,R2023110217835,강원,지자체,면접활동비 지원,취업준비생의 면접활동비 지원,면접활동비 50000원 지원,-,2023.1.~12,2004,20230201-20230601,만 18세 ~ 34세,기타,미취업자,제한없음,제한없음,신청일 현재 1개월 이상 원주시 거주 및 18~34세 취업준비생,-,없음,해당 홈페이지에서 신청,-,-,https://www.wonju.go.kr/wjyouth/index.do,-,-,원주시 복지정책과,남효선 주무관,033-737-2308,원주시,해당사항 없음,해당사항 없음,-,일자리
8,R2023110217849,강원,지자체,면접정장 지원,취업준비생을 위한 면접 정장 대여,정장 대여,-,2023.1.~12,2001,상시,만 18세 ~ 34세,기타,미취업자,제한없음,제한없음,신청일 현재 1개월 이상 원주시 거주 및 18~34세 취업준비생,-,없음,해당 홈페이지에서 신청,-,-,https://www.wonju.go.kr/wjyouth/index.do,https://www.wonju.go.kr/wjyouth/index.do,-,원주시 복지정책과,남효선 주무관,033-737-2308,원주시,해당사항 없음,해당사항 없음,-,일자리
9,R2023110217817,강원,지자체,2023년 청년 체험형 인턴 운영,지역청년들에게 대행위탁사업 직무에 대하여 채용 체험 기회를 제공함으로써 취업역량강화,대행위탁사업 직무에 대하여 채용체험 기회 제공,3명,2023. 10. ~ 2023. 12.,2004,20230907-20230913,만 18세 ~ 34세,제한없음,미취업자,제한없음,제한없음,공고일 기준 주민등록살 속초시에 주소를 두고 있는 청년,-,유사사업 참여자 대학교 재학생 기취업자 및 취업예정자,시설관리공단 방문접수,신청서 및 구비서류,1차 서류심사 2차 면접심사,-,-,-,속초시 시설관리공단,이창준 주임,033-630-6221,주관기관과 동일,-,-,-,일자리
10,R2023110217801,강원,지자체,면접 정장 대여사업,청년에게 면접 정장 대여를 통하여 금전적 부담을 완하하고 취업 성공 지원,"남녀 정장 세트(자켓 치마 바지 셔츠 등) 대여
※ 1인 연간 5회까지 지원가능",-,2023.1.~12,2001,정장 대여 희망일 최소 3일 전에 예약 필수,만 18세 ~ 39세,제한없음,제한없음,제한없음,제한없음,삽척시 관내 취업 면접 예정 청년,,,,,,,,,,,,,,,,
